U_ID,MOD_ID,GLAC_ID,MOD_H,GLAC_H,DEBRIS,FRAC_GLAC
1,56570,58,5217.04,5211,0,0.04
2,56571,58,5223.8,5215.57,0,0.28
3,56572,58,5282.12,5241.17,0,0.48
4,56841,58,5192.56,5158.4,0,0.2
5,56842,58,5185.44,5185.44,0,1
6,56843,58,5205.52,5205.52,0,1
7,56844,58,5212.76,5218.6,0,0.2
8,57113,58,5099.32,5139.88,0,0.32
9,57114,58,5147.4,5147.4,0,1
10,57115,58,5160.08,5158.83,0,0.92
11,57116,58,5236.16,5189,0,0.04
12,57384,58,5009.16,5076,0,0.08
13,57385,58,5097.44,5108.31,0,0.64
14,57386,58,5132.96,5130.68,0,0.76
15,57928,57,5027.2,5055,0,0.08
16,57929,57,5080.64,5089.53,0,0.6
17,57930,57,5156,5145.75,0,0.48
18,58200,57,5112.76,5105.83,0,0.48
19,58201,57,5195.64,5192.87,0,0.92
20,58202,57,5340.4,5257.7,0,0.4
21,58472,57,5198.96,5246.5,0,0.08
22,58473,57,5233.16,5260,0,0.04
23,58739,71,5226.36,5258,0,0.12
24,58740,72,5302.32,5329.82,0,0.44
25,58741,72,5305.52,5308.59,0,0.68
26,58742,72,5245.2,5287.43,0,0.28
27,59009,71,5212.08,5190,0,0.2
28,59010,71,5212.08,5209.96,0,0.96
29,59011,71,5169.24,5189.33,0,0.24
30,59011,72,5169.24,5157.71,0,0.56
31,59012,72,5183,5183,0,1
32,59013,72,5233.64,5223.94,0,0.68
33,59280,71,5153.56,5130.4,0,0.4
34,59281,71,5110.4,5126,0,0.52
35,59282,72,5042.68,5030.53,0,0.6
36,59283,72,5064.88,5062.82,0,0.88
37,59284,70,5176,5187.67,0,0.12
38,59284,72,5176,5182.47,0,0.6
39,59551,71,5060.04,5078,0,0.04
40,59552,71,5038.36,5071,0,0.04
41,59553,72,4986.6,4988,0,0.36
42,59554,70,5057.2,5109.5,0,0.08
43,59554,72,5057.2,5016,0,0.12
44,59555,70,5149.96,5149.52,0,0.84
45,59556,70,5242.08,5207.67,0,0.12
46,60098,69,5311.16,5299,0,0.04
47,60367,69,5092.64,5134,0,0.04
48,60368,69,5219.56,5214.78,0,0.72
49,60369,69,5290.64,5288.63,0,0.96
50,60411,19,6548.36,6615,0,0.04
51,60638,69,5087.24,5132.43,0,0.28
52,60639,69,5200.04,5200.04,0,1
53,60640,69,5330.56,5272.82,0,0.44
54,60676,18,5456.36,5478.88,0,0.32
55,60677,18,5628.4,5612.1,0,0.4
56,60678,18,5820.48,5681,0,0.04
57,60680,19,6299.92,6416,0,0.08
58,60681,19,6475.72,6466.7,0,0.8
59,60682,19,6469.08,6518,0,0.44
60,60685,17,6493.76,6481.69,0,0.52
61,60686,17,6505.08,6479.85,0,0.52
62,60687,17,6560.6,6584.11,0,0.36
63,60688,17,6552.44,6647,0,0.04
64,60909,69,5035.88,5073.67,0,0.12
65,60910,69,5140.96,5144.65,0,0.68
66,60946,18,5475.52,5493,0,0.08
67,60947,18,5419.56,5419.56,0,1
68,60948,18,5475.84,5531.1,0,0.4
69,60951,19,6182.4,6281.2,0,0.2
70,60952,19,6238.96,6238.96,0,1
71,60953,19,6159.32,6106.5,0,0.24
72,60956,17,6303.56,6327.68,0,0.76
73,60957,17,6334.28,6334.28,0,1
74,60958,17,6447.04,6447.04,0,1
75,60959,17,6597.64,6584.73,0,0.88
76,60960,17,6651.8,6634,0,0.04
77,61208,20,5547.12,5442,0,0.12
78,61209,20,5433.56,5394.7,0,0.4
79,61210,20,5406.16,5403.63,0,0.96
80,61211,20,5451.84,5395.33,0,0.12
81,61215,18,5421.04,5391.25,0,0.32
82,61216,18,5349.52,5330.42,0,0.48
83,61217,18,5296.64,5272.71,0,0.56
84,61218,18,5272.56,5272.56,0,1
85,61219,18,5265,5225.4,0,0.2
86,61223,19,5935.88,6050.3,0,0.4
87,61224,19,5979.84,5979.84,0,1
88,61225,19,5952.8,5978.29,0,0.28
89,61227,17,6080.88,6126.08,0,0.48
90,61228,17,6114.12,6114.12,0,1
91,61229,17,6252.84,6252.84,0,1
92,61230,17,6468.04,6468.04,0,1
93,61231,17,6631.88,6608.5,0,0.48
94,61479,20,5541.92,5418,0,0.04
95,61480,20,5373.68,5363.94,0,0.72
96,61481,20,5320.52,5320.52,0,1
97,61482,20,5289.68,5280.05,0,0.76
98,61483,20,5339.76,5256.6,0,0.2
99,61486,18,5387.96,5351.8,0,0.2
100,61487,18,5301.2,5293.88,0,0.68
101,61488,18,5236.76,5237.86,0,0.84
102,61489,18,5221.32,5221.32,0,1
103,61490,18,5222,5217.5,0,0.48
104,61495,19,5711.28,5785.8,0,0.4
105,61498,17,5808.84,5959,0,0.08
106,61499,17,5920.36,5964.93,0,0.56
107,61500,17,6150.92,6149.13,0,0.32
108,61501,17,6446.32,6463.81,0,0.84
109,61502,17,6458.72,6524.73,0,0.44
110,61725,32,5663.72,5639.4,0,0.2
111,61725,30,5663.72,5642.29,0,0.28
112,61726,30,5657.92,5628.47,0,0.6
113,61727,30,5666.32,5648.8,0,0.6
114,61728,30,5717.96,5706.06,0,0.72
115,61750,22,5559.68,5514.75,0,0.16
116,61751,22,5429.88,5482.67,0,0.12
117,61752,20,5306.88,5287.92,0,0.52
118,61753,20,5256.56,5256.29,0,0.96
119,61754,20,5233,5232.75,0,0.96
120,61755,20,5256.08,5211.38,0,0.52
121,61756,20,5365.44,5218,0,0.04
122,61760,18,5211.32,5191.8,0,0.4
123,61761,18,5192.36,5190.22,0,0.36
124,61769,17,5624.36,5595.45,0,0.44
125,61770,17,5705.64,5589.2,0,0.2
126,61772,17,6325.92,6346.15,0,0.8
127,61773,17,6262.48,6419,0,0.08
128,61995,32,5436.48,5531,0,0.04
129,61996,32,5571.16,5571.82,0,0.68
130,61996,30,5571.16,5566.6,0,0.2
131,61997,30,5550.12,5550.12,0,1
132,61998,30,5562.56,5562.56,0,1
133,61999,30,5613.6,5606.2,0,0.8
